mzround	mz.x	retention_time.x	DW_20180105_020	DW_20180105_044	DW_20180105_068	DW_20180105_104	DW_20180105_128	DW_20180105_014	DW_20180105_038	DW_20180105_062	DW_20180105_098	DW_20180105_122	Pathway	Overlap size	Pathway size	p-value	Empirical ID	massfeature_rows	Adduct	KEGG ID	compound_annotation	mz.y	retention_time.y	p.value	statistic	Truncated annotation
115.0036865	115.003686455006	27.5592300611826	2462685.66666667	3331729	4705268.33333333	4529784.33333333	2973270	7472716.33333333	7311500	16418798.6666667	8180353.33333333	10356497.3333333	Alanine and Aspartate Metabolism	7	13	0.0390837051789	E320	row98	M-H[-]	C00122	Fumarate; Fumaric acid; trans-Butenedioic acid	115.0036865	27.55923006	9.2107e-4	5.1077	Fumarate; Fumaric acid; trans-Buten
116.0717588	116.071758781299	24.7419079826397	7579707.66666667	5459895.33333333	5205936.33333333	5105267.66666667	5289842.33333333	3477931.66666667	4202878.66666667	4093394.66666667	3405190.33333333	4956702	Butanoate metabolism	4	6	0.0430500584029	E57	row259	M-H[-]	C00431;C00719;C00183	5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate$L-Valine; 2-Amino-3-methylbutyric acid	116.0717588	24.74190798	0.0083864	-3.4746	5-Aminopentanoate; 5-Aminopentanoic
116.0717588	116.071758781299	24.7419079826397	7579707.66666667	5459895.33333333	5205936.33333333	5105267.66666667	5289842.33333333	3477931.66666667	4202878.66666667	4093394.66666667	3405190.33333333	4956702	Valine, leucine and isoleucine degradation	6	10	0.0291846287006	E57	row259	M-H[-]	C00431;C00719;C00183	5-Aminopentanoate; 5-Aminopentanoic acid; 5-Aminovaleric acid$Betaine; Trimethylaminoacetate; Glycine betaine; N,N,N-Trimethylglycine; Trimethylammonioacetate$L-Valine; 2-Amino-3-methylbutyric acid	116.0717588	24.74190798	0.0083864	-3.4746	5-Aminopentanoate; 5-Aminopentanoic
128.0353529	128.035352920412	23.2035682829998	3798897.66666667	3384872.33333333	4823260.33333333	9531764.33333333	5138188	15253951	14408902.3333333	12368094.3333333	12434357	17043976.3333333	Valine, leucine and isoleucine degradation	6	10	0.0291846287006	E21	row77	M-H2O-H[-]	C00217;C05938;C00025	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate	128.0353529	23.20356828	5.5748e-4	5.5244	D-Glutamate; D-Glutamic acid; D-Glu
128.0353529	128.035352920412	23.2035682829998	3798897.66666667	3384872.33333333	4823260.33333333	9531764.33333333	5138188	15253951	14408902.3333333	12368094.3333333	12434357	17043976.3333333	Lysine metabolism	5	8	0.0361593600054	E21	row77	M-H2O-H[-]	C00217;C05938;C00025	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate	128.0353529	23.20356828	5.5748e-4	5.5244	D-Glutamate; D-Glutamic acid; D-Glu
128.0353529	128.035352920412	23.2035682829998	3798897.66666667	3384872.33333333	4823260.33333333	9531764.33333333	5138188	15253951	14408902.3333333	12368094.3333333	12434357	17043976.3333333	Alanine and Aspartate Metabolism	7	13	0.0390837051789	E21	row77	M-H2O-H[-]	C00217;C05938;C00025	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate	128.0353529	23.20356828	5.5748e-4	5.5244	D-Glutamate; D-Glutamic acid; D-Glu
128.0353529	128.035352920412	23.2035682829998	3798897.66666667	3384872.33333333	4823260.33333333	9531764.33333333	5138188	15253951	14408902.3333333	12368094.3333333	12434357	17043976.3333333	Butanoate metabolism	4	6	0.0430500584029	E21	row77	M-H2O-H[-]	C00217;C05938;C00025	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate	128.0353529	23.20356828	5.5748e-4	5.5244	D-Glutamate; D-Glutamic acid; D-Glu
128.0353529	128.035352920412	23.2035682829998	3798897.66666667	3384872.33333333	4823260.33333333	9531764.33333333	5138188	15253951	14408902.3333333	12368094.3333333	12434357	17043976.3333333	Arachidonic acid metabolism	8	13	0.0112183931227	E21	row77	M-H2O-H[-]	C00217;C05938;C00025	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate	128.0353529	23.20356828	5.5748e-4	5.5244	D-Glutamate; D-Glutamic acid; D-Glu
130.0873899	130.08738990669	24.9911509384216	4192440	4316599	7692112.66666667	8366939	8489332.66666667	18188024.6666667	14960055	22010280.3333333	18655145.6666667	26687296.6666667	Valine, leucine and isoleucine degradation	6	10	0.0291846287006	E798	row65	M-H[-]	C00407;C00123	L-Isoleucine; 2-Amino-3-methylvaleric acid$L-Leucine; 2-Amino-4-methylvaleric acid; (2S)-alpha-2-Amino-4-methylvaleric acid; (2S)-alpha-Leucine	130.0873899	24.99115094	2.9926e-4	6.0699	L-Isoleucine; 2-Amino-3-methylvaler
131.0906839	131.090683949075	21.9084230685665	217002.333333333	159020.666666667	197965	1581447.66666667	162811.666666667	1028770	1703468.33333333	3367650	2501738.66666667	2638312.33333333	Valine, leucine and isoleucine degradation	6	10	0.0291846287006	E798	row163	M(C13)-H[-]	C00407;C00123	L-Isoleucine; 2-Amino-3-methylvaleric acid$L-Leucine; 2-Amino-4-methylvaleric acid; (2S)-alpha-2-Amino-4-methylvaleric acid; (2S)-alpha-Leucine	131.0906839	21.90842307	0.0032183	4.1479	L-Isoleucine; 2-Amino-3-methylvaler
